[2025-12-21 14:11:10.707] [info] [:] GLFW window resized to 957x813
[2025-12-21 14:11:10.713] [info] [:] GLFW window resized to 1017x827
[2025-12-21 14:11:10.719] [info] [:] GLFW window resized to 1090x850
[2025-12-21 14:11:10.731] [info] [:] GLFW window resized to 1140x868
[2025-12-21 14:11:10.737] [info] [:] GLFW window resized to 1202x888
[2025-12-21 14:11:10.744] [info] [:] GLFW window resized to 1256x910
[2025-12-21 14:11:10.750] [info] [:] GLFW window resized to 1280x915
[2025-12-21 14:11:10.757] [info] [:] GLFW window resized to 1298x917
[2025-12-21 14:11:10.763] [info] [:] GLFW window resized to 1318x917
[2025-12-21 14:11:10.769] [info] [:] GLFW window resized to 1336x916
[2025-12-21 14:11:10.775] [info] [:] GLFW window resized to 1340x915
[2025-12-21 14:11:10.790] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.791] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.803] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.814] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.825] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.836] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.852] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.858] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.870] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.880] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.892] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.903] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.914] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.925] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.936] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.948] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.958] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.969] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.980] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.992] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.003] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.014] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.025] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.037] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.047] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.059] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.070] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.081] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.092] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.103] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.114] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.125] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.136] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.148] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.158] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.170] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.181] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.192] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.203] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.214] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.225] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.236] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.247] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.258] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.270] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.281] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.292] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.303] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.314] [trace] [:] Rendering triangle.
